Date,Price,Open,High,Low,Vol.,Change %
1/15/2021,41066.46,40963.14,41070.91,40963.14,340.88M,0.00
1/14/2021,40963.14,40345.72,40963.14,40345.72,809.36M,0.02
1/13/2021,40341.05,40295.95,40553.56,40295.95,468.33M,0.00
1/12/2021,40295.95,40150.78,40295.95,39724.26,1.17B,0.00
1/11/2021,40150.78,40120.22,40150.78,40095.09,335.64M,0.00
1/8/2021,40123.71,40590.85,40657.30,40004.27,333.31M,-0.01
1/7/2021,40590.85,40465.15,40620.02,40310.36,229.88M,0.00
1/6/2021,40452.07,40396.14,40465.15,40388.30,249.53M,0.00
1/5/2021,40396.14,41148.02,41149.86,40142.94,465.68M,-0.02
1/4/2021,41147.39,40287.71,41154.33,40284.00,211.88M,0.02
12/31/2020,40270.72,39515.31,40279.29,39507.24,710.56M,0.02
12/30/2020,39512.31,39110.17,39601.97,39107.50,372.93M,0.01
12/29/2020,39110.17,38800.01,39134.37,38775.26,722.57M,0.01
12/24/2020,38800.01,38803.74,38873.10,38798.18,389.66M,0.00
12/23/2020,38803.74,37893.61,38809.25,37893.19,467.13M,0.02
12/22/2020,37893.61,37443.40,37952.36,37443.40,442.22M,0.01
12/21/2020,37443.40,36798.74,37494.76,36798.74,427.06M,0.02
12/18/2020,36804.75,36239.62,36808.29,36239.62,426.33M,0.02
12/17/2020,36239.62,35493.15,36239.62,35493.15,343.64M,0.02
12/16/2020,35493.15,35225.22,35554.11,35225.22,648.99M,0.01
12/15/2020,35225.22,34843.44,35227.32,34834.78,264.23M,0.01
12/14/2020,34843.44,34250.74,34877.29,34206.48,208.07M,0.02
12/11/2020,34250.74,34576.49,34666.79,34145.13,796.07M,-0.01
12/10/2020,34577.26,35021.26,35021.26,34501.85,553.95M,-0.01
12/9/2020,35021.26,35033.74,35039.80,35001.14,283.09M,0.00
12/8/2020,35033.74,35064.36,35081.67,35020.79,307.72M,0.00
12/7/2020,35064.36,35137.99,35140.81,35064.36,324.31M,0.00
12/4/2020,35137.99,34968.94,35140.80,34455.93,292.86M,0.00
12/3/2020,34968.94,35056.82,35195.09,34952.99,289.39M,0.00
12/2/2020,35056.82,35147.62,35172.68,35031.65,368.96M,0.00
12/1/2020,35147.62,35048.15,35204.16,35048.15,308.08M,0.00
11/30/2020,35042.14,34885.51,35184.93,34765.94,415.53M,0.00
11/27/2020,34885.51,34803.00,34885.51,34748.26,190.27M,0.00
11/26/2020,34803.00,34769.00,34882.52,34768.73,257.54M,0.00
11/25/2020,34769.00,34340.56,34820.77,34340.56,434.92M,0.01
11/24/2020,34340.56,34119.74,34343.56,34095.69,365.41M,0.01
11/23/2020,34121.78,34136.82,34250.45,33582.38,567.57M,0.00
11/20/2020,34136.82,34643.65,34665.08,34064.25,344.80M,-0.01
11/19/2020,34643.65,34818.01,34869.53,34633.36,364.92M,-0.01
11/18/2020,34818.01,34242.83,34832.04,34226.75,661.13M,0.02
11/17/2020,34242.83,34769.66,34769.66,34126.23,840.88M,-0.02
11/16/2020,34795.82,35041.40,35245.62,34685.94,668.53M,-0.01
11/13/2020,35037.46,35344.01,35814.18,34552.60,1.24B,-0.01
11/12/2020,35342.46,33291.27,35342.46,33291.27,1.19B,0.06
11/11/2020,33268.36,32648.02,33268.36,32585.04,858.16M,0.02
11/10/2020,32647.10,32243.05,32647.10,32226.71,578.78M,0.01
11/9/2020,32243.05,31016.17,32243.05,31016.17,636.01M,0.04
11/6/2020,31016.17,30738.92,31016.17,30509.12,497.95M,0.01
11/5/2020,30738.92,30741.88,30772.77,30722.48,430.12M,0.00
11/4/2020,30741.88,30733.47,30761.50,30724.21,286.45M,0.00
11/3/2020,30733.47,30479.39,30735.46,30408.13,336.04M,0.01
11/2/2020,30479.39,30527.69,30554.27,30364.15,376.11M,0.00
10/30/2020,30530.69,29439.35,30530.69,29439.35,807.80M,0.04
10/28/2020,29437.60,28980.29,29444.12,28971.44,375.25M,0.02
10/27/2020,28980.29,28777.96,28980.29,28775.59,385.57M,0.01
10/26/2020,28777.96,28697.06,28777.96,28685.54,340.80M,0.00
10/23/2020,28697.06,28563.87,28706.33,28559.72,282.56M,0.00
10/22/2020,28563.87,28449.49,28567.14,28413.11,311.32M,0.00
10/21/2020,28449.49,28645.21,28645.21,28250.71,326.56M,-0.01
10/20/2020,28665.82,28658.31,28720.49,28567.07,297.29M,0.00
10/19/2020,28659.07,28650.44,28680.68,28588.24,287.30M,0.00
10/16/2020,28659.45,28344.04,28680.87,28313.57,489.09M,0.01
10/15/2020,28344.04,28354.14,28364.47,28333.06,330.66M,0.00
10/14/2020,28344.33,28344.04,28381.27,28332.51,218.42M,0.00
10/13/2020,28344.04,28337.49,28351.51,28299.61,535.83M,0.00
10/12/2020,28337.49,28415.31,28440.82,28170.72,369.06M,0.00
10/9/2020,28415.31,28546.22,28721.73,28371.70,384.04M,0.00
10/8/2020,28546.22,28634.35,28664.83,28398.74,568.74M,0.00
10/7/2020,28634.35,28945.41,29171.29,28484.87,832.88M,-0.01
10/6/2020,28909.37,27561.51,28909.37,27561.51,749.47M,0.05
10/5/2020,27554.56,26985.77,27563.91,26985.77,603.89M,0.02
10/2/2020,26985.77,26831.76,26985.77,26830.59,459.79M,0.01
9/30/2020,26837.42,26612.12,26862.21,26612.12,322.76M,0.01
9/29/2020,26611.96,26507.84,26611.96,26427.58,413.10M,0.00
9/28/2020,26507.84,26319.34,26512.05,26319.34,336.73M,0.01
9/25/2020,26319.47,25987.14,26327.17,25987.14,335.74M,0.01
9/24/2020,25987.14,25783.02,26021.75,25783.02,359.27M,0.01
9/23/2020,25783.02,25654.90,25785.41,25631.12,414.16M,0.01
9/22/2020,25654.90,25574.35,25655.18,25525.93,262.05M,0.00
9/21/2020,25574.35,25572.57,25592.86,25564.36,196.11M,0.00
9/18/2020,25572.57,25532.74,25572.57,25505.27,193.49M,0.00
9/17/2020,25533.35,25550.31,25551.56,25507.84,231.19M,0.00
9/16/2020,25558.81,25598.53,25606.02,25535.41,211.45M,0.00
9/15/2020,25597.96,25605.59,25618.65,25573.96,245.14M,0.00
9/14/2020,25605.59,25591.95,25616.99,25577.33,256.97M,0.00
9/11/2020,25591.95,25520.97,25592.22,25514.22,212.57M,0.00
9/10/2020,25520.97,25424.91,25540.91,25403.33,234.15M,0.00
9/9/2020,25424.91,25493.88,25496.73,25414.42,269.62M,0.00
9/8/2020,25497.32,25585.67,25596.21,25490.01,251.96M,0.00
9/7/2020,25582.23,25605.64,25631.16,25573.24,253.96M,0.00
9/4/2020,25605.64,25534.87,25618.48,25529.56,418.16M,0.00
9/3/2020,25511.02,25460.00,25511.02,25460.00,229.41M,0.00
9/2/2020,25460.00,25404.12,25461.66,25388.82,178.29M,0.00
9/1/2020,25413.76,25327.13,25417.61,25327.13,-,0.00
8/31/2020,25327.13,25303.68,25334.11,25289.10,127.28M,0.00
8/28/2020,25309.37,25304.25,25312.81,25289.35,137.05M,0.00
8/27/2020,25297.55,25330.10,25330.10,25291.33,249.13M,0.00
8/26/2020,25330.10,25295.01,25332.51,25283.31,180.55M,0.00
8/25/2020,25291.78,25228.38,25291.78,25201.79,251.34M,0.00
8/24/2020,25229.12,25221.87,25232.68,25159.82,251.19M,0.00
